"NC Code","Supplier","Brand Name","Age","Proof","Bottle Size","Retail Bottle Price","Mixed Beverage Price",
63-333,"Disaronno International","DiSaronno Amaretto","","56",".375L","$12.95","$14.83",
63-367,"Kobrand Spirits","Alize Red Passion","","32",".75L","$19.95","$23.70",
63-371,"Kobrand Spirits","Alize","","32",".75L","$19.95","$23.70",
63-403,"Sazerac Co.","Chateau Monet","","33",".75L","$16.95","$20.70",
63-404,"Campari America","Campari","","48",".75L","$33.95","$37.70",
63-409,"Brown - Forman","Chambord Royale","","33",".75L","$33.95","$37.70",
63-411,"Brown - Forman","Chambord Royale","","33",".375L","$19.95","$21.83",
63-450,"Sazerac Co.","Gran Gala Triple Orange Liqueur","","80",".75L","$18.95","$22.70",
63-455,"Remy Cointreau","Cointreau","","80",".75L","$39.95","$43.70",
63-458,"Remy Cointreau","Cointreau","","80",".375L","$19.95","$21.83",
63-489,"Campari America","Frangelico","","40",".75L","$28.95","$32.70",
63-493,"Campari America","Frangelico","","40",".375L","$16.95","$18.83",
63-519,"Heaven Hill","Irish Mist Liqueur","","70",".75L","$27.95","$31.70",
63-546,"Park St Imp/ Branca USA","Fernet Branca","","78",".75L","$29.95","$33.70",
63-561,"Castle Brands","Pallini Limoncello","","52",".75L","$24.95","$28.70",
63-573,"Sazerac NA","Caravella Limoncello","","56",".75L","$19.95","$23.70",
63-639,"Remy Cointreau","Metaxa Ouzo","","80",".75L","$19.95","$23.70",
63-646,"Beam Suntory","Midori Melon","","40",".75L","$22.95","$26.70",
63-664,"Pernod Ricard","Pernod","","80",".75L","$32.95","$36.70",
63-672,"Diageo NA","Pimm's Cup No. 1","","50",".75L","$19.95","$23.70",
63-701,"Sazerac Co.","Goldschlager Cinnamon Schnapps","","87",".75L","$23.95","$27.70",
63-702,"Sazerac Co.","Goldschlager Cinnamon Schnapps","","87",".375L","$12.95","$14.83",
63-704,"Sazerac Co.","Dr. McGillicuddy's Mentholmint","","48",".75L","$12.95","$16.70",
63-713,"Sazerac Co.","Ice 101 Peppermint Schnapps","","101",".75L","$16.95","$20.70",
63-718,"Diageo NA","Rumple Minze Peppermint Schnapps","","100",".75L","$24.95","$28.70",
63-732,"Sazerac NA","Sambuca Di Amore","","84",".75L","$13.95","$17.70",
63-738,"Sazerac Co.","Romana Sambuca","","84",".75L","$24.95","$28.70",
63-768,"Sazerac Co.","Romana Black Sambuca","","80",".75L","$25.95","$29.70",
63-805,"Bacardi","Leblon Cachaca","","80",".75L","$26.95","$30.70",
63-820,"Sazerac Co.","Tuaca Liquore Originale","","70",".75L","$24.95","$28.70",
63-847,"Disaronno International","Zucca Rabarbaro","","60",".75L","$27.95","$31.70",
63-861,"Sazerac Co.","Yukon Jack","","100",".75L","$22.95","$26.70",
63-879,"Sazerac Co.","Fireball Cinnamon Whisky","","66","1.75L","$29.95","$38.70",
63-880,"Sazerac Co.","Fireball Cinnamon Whisky","","66",".75L","$15.95","$19.70",
63-881,"Sazerac Co.","Fireball Cinnamon Whisky","","66",".375L","$8.75","$10.63",
63-882,"Sazerac Co.","Fireball Cinnamon Whisky Traveler","","66",".75L","$15.95","$19.70",
63-960,"William Grant","Solerno Blood Orange Liqueur","","80",".75L","$34.95","$38.70",
63-972,"Heaven Hill","Harlequin Orange Liq. w/ Cognac","","80",".75L","$19.95","$23.70",
63-984,"Heaven Hill","Domaine de Canton","","56",".75L","$32.95","$36.70",
64-038,"Park St Imp/ Zamora","Licor 43","","62",".75L","$23.95","$27.70",
64-043,"Campari America","X Rated Fusion Liqueur","","34",".75L","$24.95","$28.70",
64-052,"Sazerac NA","Montezuma Blue","","80",".75L","$6.95","$10.70",
64-062,"Luxco","Juarez Gold DSS","","80",".75L","$7.45","$11.20",
64-065,"MHW/ Tequilas Premium","Clase Azul Reposado","","80",".75L","$109.95","$113.70",
64-088,"Davos Brands","Sombra Agave de Oaxaca Mezcal","","90",".75L","$35.95","$39.70",
64-103,"Sazerac Co.","Margaritaville Island Lime","","50",".75L","$15.95","$19.70",
64-127,"Proximo Spirits","Creyente Mezcal","","80",".75L","$44.95","$48.70",
64-130,"Blackbird Spirits","Dr. Stoner's Hierba Loca Blue Agave Tequila","","84",".75L","$29.95","$33.70",
64-147,"Pernod Ricard","Del Maguey Mezcal Vida","","84",".75L","$37.95","$41.70",
64-149,"Pernod Ricard","Del Maguey Crema de Mezcal","","80",".75L","$37.95","$41.70",
64-151,"Patron Spirits","Patron XO Cafe","","70",".75L","$26.95","$30.70",
64-152,"Patron Spirits","Patron XO Cafe","","70",".375L","$15.95","$17.83",
64-153,"Patron Spirits","Patron XO Cafe w/o box","","70",".75L","$26.95","$30.70",
64-235,"Beam Suntory","Hornitos Anejo Cristalino","001Y","80",".75L","$29.95","$33.70",
64-298,"Park St Imp/ Ilegal","Ilegal Joven","","80",".75L","$42.95","$46.70",
64-336,"William Grant","Montelobos Mezcal","","86.4",".75L","$39.95","$43.70",
64-702,"Proximo Spirits","Jose Cuervo Especial Silver","","80","1.75L","$35.95","$44.70",
64-703,"Proximo Spirits","Jose Cuervo Especial Silver","","80",".75L","$20.95","$24.70",
64-704,"Proximo Spirits","Jose Cuervo Especial Silver","","80",".375L","$9.95","$11.83",
64-706,"Bacardi","Cazadores Blanco","","80",".75L","$28.95","$32.70",
64-707,"Bacardi","Cazadores Blanco","","80","1.75L","$39.95","$48.70",
64-709,"Luxco","El Mayor Blanco","","80",".75L","$29.95","$33.70",
64-712,"Campari America","Cabo Wabo Blanco","","80",".75L","$35.95","$39.70",
64-714,"Davos Brands","Astral Tequila","","92",".75L","$34.95","$38.70",
64-722,"Heaven Hill","Aristocrat Supreme Teq White","","80","1.75L","$22.95","$31.70",
64-724,"Heaven Hill","Aristocrat Supreme Teq White","","80",".75L","$9.25","$13.00",
64-736,"Constellation Brands","Casa Noble - Silver","","80",".75L","$39.95","$43.70",
64-739,"Imperial Brands","Blue Nectar Silver","","80",".75L","$34.95","$38.70",
64-744,"Diageo NA","Deleon Platinum","","80",".75L","$39.95","$43.70",
64-747,"Diageo NA","Deleon Platinum","","80",".375L","$19.95","$21.83",
64-758,"Casamigos Spirits","Casamigos Blanco Tequila","","80",".75L","$47.95","$51.70",
64-759,"Casamigos Spirits","Casamigos Blanco","","80",".375L","$22.95","$24.83",
64-760,"Casamigos Spirits","Casamigos Mezcal Joven","","80",".75L","$61.95","$65.70",
64-769,"Proximo Spirits","Jose Cuervo Tradicional Reposado","","80","1.75L","$37.95","$46.70",
64-770,"Proximo Spirits","Jose Cuervo Tradicional Reposado","","80",".75L","$22.95","$26.70",
64-775,"Proximo Spirits","Jose Cuervo Tradicional Silver","","80","1.75L","$37.95","$46.70",
64-776,"Proximo Spirits","Jose Cuervo Tradicional Silver","","80",".75L","$22.95","$26.70",
64-779,"MHW/ Casa Dragones","Casa Dragones Blanco Tequila","","80",".75L","$69.75","$73.50",
64-787,"Sazerac Co.","Margaritaville Silver","","80",".75L","$15.95","$19.70",
64-789,"Diageo NA","Don Julio 70th Anniversary","","80",".75L","$62.95","$66.70",
64-790,"Diageo NA","Don Julio Blanco","","80",".75L","$49.95","$53.70",
64-791,"Diageo NA","Don Julio Blanco","","80",".375L","$24.95","$26.83",
64-793,"William Grant","Milagro Silver","","80",".75L","$32.95","$36.70",
64-796,"Stoli Group USA","Villa One Silver Tequila","002M","80",".75L","$44.95","$48.70",
64-804,"Brown - Forman","El Jimador Blanco","","80","1.75L","$29.95","$38.70",
64-805,"Brown - Forman","El Jimador Blanco","","80",".75L","$19.95","$23.70",
64-807,"Beam Suntory","Hornitos Plata","","80","1.75L","$39.95","$48.70",
64-808,"Beam Suntory","Hornitos Plata","","80",".75L","$25.95","$29.70",
64-809,"Beam Suntory","Hornitos Plata","","80",".375L","$10.95","$12.83",
64-811,"Beam Suntory","Hornitos Lime Shot","","70",".75L","$25.95","$29.70",
64-817,"Sazerac NA","El Toro Silver","","80",".75L","$8.75","$12.50",
64-824,"Beam Suntory","El Tesoro Blanco","","80",".75L","$49.95","$53.70",
64-828,"Brown - Forman","Herradura Ultra","","80",".75L","$59.95","$63.70",
64-830,"Brown - Forman","Herradura Silver","","80",".75L","$44.95","$48.70",
64-840,"Pernod Ricard","Avion Silver","","80",".75L","$39.95","$43.70",
64-841,"Pernod Ricard","Avion Silver","","80",".375L","$19.95","$21.83",
64-845,"Bacardi","Corzo Silver","","80",".75L","$34.95","$38.70",
64-852,"Sans Wine & Spirits","Coa De Jima Silver","","80",".75L","$21.95","$25.70",
